444,VẬT LIỆU XÂY DỰNG KHÔNG SẢN XUẤT TRỰC TIẾP TỪ KHOÁNG SẢNVẬT LIỆU XÂY DỰNG KHÔNG SẢN XUẤT TRỰC TIẾP TỪVẬT LIỆU XÂY DỰNG KHÔNG SẢN XUẤT TRỰC TIẾP TỪ  KHOÁNG SẢNKHOÁNG SẢN
4.14.14.1,Vật liệu xây dựng từ gỗ (bao gồm gỗ tự nhiên và gỗ công nghiệp)Vật liệu xây dựng từ gỗ (bao gồm gỗ tự nhiên và gỗ công nghiệp)Vật liệu xây dựng từ gỗ (bao gồm gỗ tự nhiên và gỗ công nghiệp)
4.1.14.1.14.1.1,Ván gỗ nhân tạoVán gỗ nhân tạoVán gỗ nhân tạo
4.1.1.14.1.1.14.1.1.1,Ván dăm (bao gồm các loại ván tương tự ván dăm)Ván dăm (bao gồm các loại ván tương tự ván dăm)Ván dăm (bao gồm các loại ván tương tự ván dăm)
4.1.1.24.1.1.24.1.1.2,Ván sợi sản xuất theo phương pháp khôVán sợi sản xuất theo phương pháp khôVán sợi sản xuất theo phương pháp khô
4.1.1.34.1.1.34.1.1.3,Gỗ dán (bao gồm các loại gỗ ghép tương tự)Gỗ dán (bao gồm các loại gỗ ghép tương tự)Gỗ dán (bao gồm các loại gỗ ghép tương tự)
4.1.1.44.1.1.44.1.1.4,Ván ghép từ thanh dày và ván ghép từ thanh trung bìnhVán ghép từ thanh dày và ván ghép từ thanh trung bìnhVán ghép từ thanh dày và ván ghép từ thanh trung bình
4.1.24.1.24.1.2,"Gỗ, ván lát sànGỗ, ván lát sànGỗ, ván lát sàn"
4.1.34.1.34.1.3,"Gỗ, ván ốp tường, trầnGỗ, ván ốp tường, trầnGỗ, ván ốp tường, trần"
4.1.44.1.44.1.4,"Cửa, khung cửa gỗCửa, khung cửa gỗCửa, khung cửa gỗ"
4.1.54.1.54.1.5,Các vật liệu xây dựng khác từ gỗCác vật liệu xây dựng khác từ gỗCác vật liệu xây dựng khác từ gỗ
4.24.24.2,Vật liệu xây dựng trên cơ sở polyme và hợp chất hữu cơVật liệu xây dựng trên cơ sở polyme và hợp chất hữu cơVật liệu xây dựng trên cơ sở polyme và hợp chất hữu cơ
4.2.14.2.14.2.1,Nhựa đường (bitum)Nhựa đường (bitum)Nhựa đường (bitum)
4.2.24.2.24.2.2,"Tấm nhựa (acrylic, polycarbonat, PP, PE, HDPE và các loại khác)Tấm nhựa (acrylic, polycarbonat, PP, PE, HDPE và các loại khác)Tấm nhựa (acrylic, polycarbonat, PP, PE, HDPE và các loại khác)"
4.2.34.2.34.2.3,Vật liệu composite nền polymeVật liệu composite nền polymeVật liệu composite nền polyme
4.2.44.2.44.2.4,"Sơn sàn bê tông (epoxy, acrylic, polyurethane và các loại khác)Sơn sàn bê tông (epoxy, acrylic, polyurethane và các loại khác)Sơn sàn bê tông (epoxy, acrylic, polyurethane và các loại khác)"
4.2.54.2.54.2.5,"Sơn bảo vệ kết cấu thép (alkyd, epoxy, acrylic, polyurethane và các loại khác)Sơn bảo vệ kết cấu thép (alkyd, epoxy, acrylic, polyurethane và các loại khác)Sơn bảo vệ kết cấu thép (alkyd, epoxy, acrylic, polyurethane và các loại khác)"
