Trạm,Suất bảo đảm (%),Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
13. Bắc Yên,60,"14,1","9,5","27,6","92,6","166,9","219,5","229,4","241,0","125,4","40,6","9,9","4,9","1413,9"
13. Bắc Yên,50,"24,4","16,8","43,5","102,8","188,3","235,6","250,8","255,8","145,5","61,9","15,0","8,7","1470,4"
13. Bắc Yên,40,"30,4","19,5","53,0","115,3","215,4","265,0","271,7","304,0","179,7","78,2","30,2","12,7","1519,0"
13. Bắc Yên,30,"37,0","27,3","62,3","129,4","241,3","283,7","303,1","325,2","200,4","103,3","42,7","20,5","1589,6"
13. Bắc Yên,20,"49,6","34,1","82,8","149,3","260,4","306,6","334,6","366,0","240,2","125,5","59,8","47,3","1735,6"
13. Bắc Yên,10,"74,0","58,1","103,8","166,2","309,4","366,3","397,0","406,2","294,9","136,4","68,6","66,4","1793,7"
13. Bắc Yên,5,"103,2","73,7","120,5","182,0","353,1","405,0","413,6","422,9","325,0","174,5","87,8","78,7","1874,5"
14. Phù Yên,95,"0,2","0,3","2,6","48,9","99,9","73,7","109,2","92,9","87,7","14,0","1,4","0,2","1163,5"
14. Phù Yên,90,"0,8","1,2","5,9","51,5","112,0","96,3","118,6","138,2","109,9","25,1","2,5","0,6","1255,2"
14. Phù Yên,80,"2,6","4,4","11,0","68,6","134,2","142,8","165,5","171,1","133,3","40,9","4,4","1,2","1323,3"
14. Phù Yên,70,"9,5","7,5","18,5","77,6","148,5","181,7","190,5","201,6","146,7","51,0","9,5","2,0","1366,7"
14. Phù Yên,60,"12,8","12,0","24,7","86,1","167,9","199,5","227,9","229,7","176,0","66,2","17,3","4,5","1453,3"
14. Phù Yên,50,"16,2","15,0","31,0","95,0","182,9","219,1","247,9","277,1","185,6","91,1","27,5","7,9","1502,0"
14. Phù Yên,40,"20,1","18,7","34,5","113,5","195,8","243,1","275,5","301,9","202,3","115,0","40,0","18,3","1545,1"
14. Phù Yên,30,"28,0","28,5","40,2","129,5","214,2","264,3","289,0","333,1","232,7","130,2","49,1","23,9","1622,5"
14. Phù Yên,20,"39,9","37,1","64,7","154,3","239,8","315,2","327,7","353,2","275,0","155,9","55,1","29,8","1668,7"
14. Phù Yên,10,"59,0","62,5","83,3","185,3","297,2","344,6","373,4","431,0","316,4","238,1","85,1","44,1","1769,5"
14. Phù Yên,5,"82,2","71,0","106,5","215,4","341,8","379,7","415,7","446,4","368,2","265,9","100,2","61,3","1959,2"
15. Mộc Châu,95,"2,9","4,5","8,5","39,5","104,3","92,3","125,8","143,6","131,8","13,8","1,9","1,7","1195,0"
15. Mộc Châu,90,"5,3","5,4","11,4","54,1","112,4","119,5","143,1","162,6","143,4","20,7","2,4","2,5","1327,6"
15. Mộc Châu,80,"6,9","7,3","15,5","62,8","128,4","157,6","158,7","212,5","157,2","56,1","11,3","3,8","1445,9"
15. Mộc Châu,70,"8,4","18,6","76,4","143,0","166,8","213,4","233,8","172,7","73,5","21,2","5,4","1505,5",
15. Mộc Châu,60,"10,2","11,7","25,4","84,6","155,4","206,5","245,7","265,6","221,8","87,0","29,4","8,2","1573,8"
15. Mộc Châu,50,"13,3","14,6","27,9","94,0","174,2","222,2","265,9","299,6","246,2","98,4","36,0","9,5","1685,0"
15. Mộc Châu,40,"19,0","16,9","39,6","103,3","192,9","236,5","288,1","347,7","266,3","117,1","39,3","16,2","1718,8"
