"Tỉnh, thành phố trực thuộc Trung ương",TP/Huyện/Thị xã (hoặc tương đương),Sông,Thời gian bắt đầu
Lai Châu,Mường Tè,-,17/3/1997
Lai Châu,Mường Tè,-,24/7/1998
Lai Châu,Mường Tè,-,11/7/1998
Lai Châu,Mường Tè,-,11-12/7/2008
Lai Châu,Mường Tè,-,30/7/2009
Lai Châu,Mường Tè,-,30/6/2011
Lai Châu,Nậm Nhùn,-,25/7-4/8/2015
Lai Châu,Phong Thổ,-,22/7/1998
Lai Châu,Phong Thổ,-,22/7/1998
Lai Châu,Phong Thổ,-,25/6/1998
Lai Châu,Phong Thổ,-,17/3/1997
Lai Châu,Phong Thổ,-,26/6/1958
Lai Châu,Phong Thổ,-,2/7/1992
Lai Châu,Phong Thổ,-,15/8/1996
Lai Châu,Phong Thổ,-,4/9/2013
Lai Châu,Sìn Hồ,-,15/8/1996
Lai Châu,Sìn Hồ,Nậm Na,7/7/1976
Lai Châu,Sìn Hồ,-,17/3/1997
Lai Châu,Sìn Hồ,-,17/6/2002
Lai Châu,Sìn Hồ,Nậm Mạ,3/10/2000
Lai Châu,Sìn Hồ,-,30/6/2008
Lai Châu,Sìn Hồ,-,5/6/2013
Lai Châu,TP. Lai Châu,-,27/6/1991
Lai Châu,TP. Lai Châu,-,17/3/1997
Lai Châu,TP. Lai Châu,-,11/7/1998
Lai Châu,TP. Lai Châu,Nậm Mức,1/8/2002
Lai Châu,TP. Lai Châu,Ray,6/9/2007
Lai Châu,TP. Lai Châu,-,15/8/1996
Lai Châu,Tam Đường,-,4/7/2009
Lai Châu,Tam Đường,-,12/8/2013
Lâm Đồng,Đạ Huoai,-,21/8/2000
Lâm Đồng,Đạ Tẻ,-,21/8/2000
Lâm Đồng,Lạc Dương Lạc Dương,-,31/5/2000
Lâm Đồng,Lạc Dương Lạc Dương,-,19/8/2002
Lạng Sơn,Bắc Sơn,-,25/8/1994
Lạng Sơn,Bình Gia,Bắc Giang,10/5/1993
Lạng Sơn,"Bình Gia, Văn Lãng, Hữu Lũng",-,11-16/7/2008
Lạng Sơn,Cao Lộc,-,25/8/1994
Lạng Sơn,Đình lập,Lục Nam,25/8/1994
Lạng Sơn,Hữu Lũng,Cà Lố,25/8/1994
Lạng Sơn,Lộc Bình,Kỳ Cùng,25/8/1994
Lạng Sơn,Lộc Bình,-,4/6/1998
Lạng Sơn,Tràng Định,-,25/8/1994
Lạng Sơn,TP. Lạng Sơn,Kỳ Cùng,1/7/1976
Lạng Sơn,TP. Lạng Sơn,Kỳ Cùng,1/7/1986
Lạng Sơn,Văn Quan,-,11/5/1998
Lào Cai,Bắc Hà,-,7/7/1998
Lào Cai,Bắc Hà,-,16/6/2003
Lào Cai,Bắc Hà,Nậm Mu,1/8/2002
Lào Cai,Bắc Hà,-,14/5/2002
Lào Cai,Bắc Hà,-,29/5/2001
Lào Cai,Bắc Hà,-,
Lào Cai,Bắc Hà,-,2/8/1996
Lào Cai,Bắc Hà,-,31/8/2012
Lào Cai,Bắc Hà,-,25/7-4/8/2015
Lào Cai,Bảo Thắng,-,15/7/2000
Lào Cai,Bảo Thắng,-,7/7/1998
Lào Cai,Bảo Thắng,-,30/6/1988
Lào Cai,Bảo Thắng,-,24/7/2008
